Instance,NumVariables,OriginalOrder,Method,Status,ReducedOrder,OrderRatio,Reduced,AuxiliaryLPTime,BasisTime,TotalTime
stein9inf,9,10,Affine FR,OPTIMAL,10,1,0,0.07326475,0.019507625,0.092772375
stein9inf,9,10,Partial FR (D),OPTIMAL,10,1,0,0.02212675,5.2125e-05,0.022178875
stein9inf,9,10,Partial FR (DD),OPTIMAL,10,1,0,0.00539533333333333,3.72916666666667e-05,0.005432625
stein15inf,15,16,Affine FR,OPTIMAL,16,1,0,0.010673625,7.4e-05,0.010747625
stein15inf,15,16,Partial FR (D),OPTIMAL,16,1,0,0.00465875,3.88333333333333e-05,0.00469758333333333
stein15inf,15,16,Partial FR (DD),OPTIMAL,16,1,0,0.00550075,4.65e-05,0.00554725
markshare_4_0,34,35,Affine FR,OPTIMAL,31,0.885714285714286,1,0.013369125,0.000195875,0.013565
markshare_4_0,34,35,Partial FR (D),OPTIMAL,35,1,0,0.0168441666666667,5.90833333333333e-05,0.01690325
markshare_4_0,34,35,Partial FR (DD),OPTIMAL,35,1,0,0.0178289166666667,5.08333333333333e-05,0.01787975
markshare_5_0,45,46,Affine FR,OPTIMAL,41,0.891304347826087,1,0.0041505,0.000192375,0.004342875
markshare_5_0,45,46,Partial FR (D),OPTIMAL,46,1,0,0.00436895833333333,4.25416666666667e-05,0.0044115
markshare_5_0,45,46,Partial FR (DD),OPTIMAL,46,1,0,0.00538604166666667,7.475e-05,0.00546079166666667
stein45inf,45,46,Affine FR,OPTIMAL,46,1,0,0.00603066666666667,5.04166666666667e-05,0.00608108333333333
stein45inf,45,46,Partial FR (D),OPTIMAL,46,1,0,0.005459875,4.1375e-05,0.00550125
stein45inf,45,46,Partial FR (DD),OPTIMAL,46,1,0,0.006557375,4.16666666666667e-05,0.00659904166666667
g503inf,48,49,Affine FR,OPTIMAL,40,0.816326530612245,1,0.00435179166666667,0.000148833333333333,0.004500625
g503inf,48,49,Partial FR (D),OPTIMAL,49,1,0,0.00491508333333333,4.7e-05,0.00496208333333333
g503inf,48,49,Partial FR (DD),OPTIMAL,49,1,0,0.00583591666666667,5.73333333333333e-05,0.00589325
gr4x6,48,49,Affine FR,OPTIMAL,40,0.816326530612245,1,0.004253125,0.000156541666666667,0.00440966666666667
gr4x6,48,49,Partial FR (D),OPTIMAL,49,1,0,0.00539070833333333,4.6e-05,0.00543670833333333
gr4x6,48,49,Partial FR (DD),OPTIMAL,49,1,0,0.00536966666666667,3.9875e-05,0.00540954166666667
markshare1,62,63,Affine FR,OPTIMAL,51,0.80952380952381,1,0.00404758333333333,0.000260333333333333,0.00430791666666667
markshare1,62,63,Partial FR (D),OPTIMAL,63,1,0,0.00521729166666667,5.725e-05,0.00527454166666667
markshare1,62,63,Partial FR (DD),OPTIMAL,63,1,0,0.00503825,5.19166666666667e-05,0.00509016666666667
neos5,63,64,Affine FR,OPTIMAL,64,1,0,0.00506779166666667,5.20833333333333e-05,0.005119875
neos5,63,64,Partial FR (D),OPTIMAL,64,1,0,0.00642675,4.2125e-05,0.006468875
neos5,63,64,Partial FR (DD),OPTIMAL,64,1,0,0.006826125,5.4375e-05,0.0068805
pb-market-split8-70-4,71,72,Affine FR,OPTIMAL,63,0.875,1,0.00512195833333333,0.00146816666666667,0.006590125
