member,num_vars,num_clauses,selected_rows,nonzeros_in_N,structural_rank,has_nonzero_reduction,lp_runtime_seconds,wall_runtime_seconds,matrix_file
2bitadd_10.cnf,590,1422,0,0,0,False,0.007080078125,0.027649999999999952,
2bitadd_11.cnf,649,1562,0,0,0,False,0.007077932357788086,0.017705083000000066,
2bitadd_12.cnf,708,1702,0,0,0,False,0.0074689388275146484,0.038107375000000054,
2bitcomp_5.cnf,125,310,0,0,0,False,0.0016939640045166016,0.005534499999999998,
2bitmax_6.cnf,252,766,0,0,0,False,0.0031709671020507812,0.00789149999999994,
3bitadd_31.cnf,8432,31310,0,0,0,False,0.1168060302734375,0.277587542,
3bitadd_32.cnf,8704,32316,0,0,0,False,0.1163949966430664,0.3109566250000002,
3blocks.cnf,283,9690,0,0,0,False,0.05493807792663574,0.10596400000000017,
4blocks.cnf,758,47820,0,0,0,False,0.5554780960083008,0.7231865839999996,
4blocksb.cnf,410,24758,0,0,0,False,0.11454916000366211,0.2172249579999992,
e0ddr2-10-by-5-1.cnf,19500,103887,10421,22169,3952,True,16.06451416015625,16.621296334,e0ddr2-10-by-5-1.mat
e0ddr2-10-by-5-4.cnf,19500,104527,9195,19575,3490,True,16.525294065475464,17.094201875000003,e0ddr2-10-by-5-4.mat
enddr2-10-by-5-1.cnf,20700,111567,12518,26907,4682,True,26.704303979873657,27.307249707999993,enddr2-10-by-5-1.mat
enddr2-10-by-5-8.cnf,21000,113729,13754,29781,5096,True,26.183507919311523,26.790347999999994,enddr2-10-by-5-8.mat
ewddr2-10-by-5-1.cnf,21800,118607,14975,32465,5536,True,19.313052892684937,19.986924042,ewddr2-10-by-5-1.mat
ewddr2-10-by-5-8.cnf,22500,123329,18333,40147,6686,True,25.58874797821045,26.310758250000006,ewddr2-10-by-5-8.mat
