archive,family,member,instance_id,num_vars,declared_clauses,parsed_clauses,eligible,skip_reason,solver_status,solver_objective,support_count,has_nonzero_reduction,primal_residual,solver_runtime_seconds,wall_runtime_seconds,message
aim.tar.gz,aim,aim-100-1_6-no-1.cnf,aim.tar.gz::aim-100-1_6-no-1.cnf,100,160,160,True,,OPTIMAL,-0.0,0,False,0.0,0.00671696662902832,0.047415040999999825,
QG.tar.gz,QG,qg1-07.cnf,QG.tar.gz::qg1-07.cnf,343,68083,68083,True,,OPTIMAL,532.0,532,True,0.0,0.4380979537963867,0.8874065839999998,
inductive-inference.tar.gz,inductive-inference,ii16a1.cnf,inductive-inference.tar.gz::ii16a1.cnf,1650,19368,19368,True,,OPTIMAL,-0.0,0,False,0.0,0.046903133392333984,0.16398779200000002,
QG.tar.gz,QG,qg1-08.cnf,QG.tar.gz::qg1-08.cnf,512,148957,148957,True,,OPTIMAL,680.0,680,True,0.0,1.2423720359802246,2.250587667,
QG.tar.gz,QG,qg2-07.cnf,QG.tar.gz::qg2-07.cnf,343,68083,68083,True,,OPTIMAL,387.0,387,True,0.0,0.47532105445861816,0.894103334,
QG.tar.gz,QG,qg2-08.cnf,QG.tar.gz::qg2-08.cnf,512,148957,148957,True,,OPTIMAL,497.0,497,True,0.0,1.2346827983856201,2.1889283330000002,
QG.tar.gz,QG,qg3-08.cnf,QG.tar.gz::qg3-08.cnf,512,10469,10469,True,,OPTIMAL,884.0,884,True,0.0,0.1167440414428711,0.17889575000000058,
QG.tar.gz,QG,qg3-09.cnf,QG.tar.gz::qg3-09.cnf,729,16732,16732,True,,OPTIMAL,1098.0,1098,True,0.0,0.1807079315185547,0.27029495800000003,
QG.tar.gz,QG,qg4-08.cnf,QG.tar.gz::qg4-08.cnf,512,9685,9685,True,,OPTIMAL,740.0,740,True,0.0,0.09055113792419434,0.14128429099999984,
QG.tar.gz,QG,qg4-09.cnf,QG.tar.gz::qg4-09.cnf,729,15580,15580,True,,OPTIMAL,922.0,922,True,0.0,0.2353670597076416,0.31983879200000054,
QG.tar.gz,QG,qg5-09.cnf,QG.tar.gz::qg5-09.cnf,729,28540,28540,True,,OPTIMAL,1624.0,1624,True,0.0,0.39714694023132324,0.5537769170000004,
QG.tar.gz,QG,qg5-10.cnf,QG.tar.gz::qg5-10.cnf,1000,43636,43636,True,,OPTIMAL,1948.0,1948,True,0.0,0.7662489414215088,1.0020429579999997,
QG.tar.gz,QG,qg5-11.cnf,QG.tar.gz::qg5-11.cnf,1331,64054,64054,True,,OPTIMAL,2300.0,2300,True,0.0,1.6748261451721191,2.0443944999999992,
QG.tar.gz,QG,qg5-12.cnf,QG.tar.gz::qg5-12.cnf,1728,90919,90919,True,,OPTIMAL,2680.0,2680,True,0.0,1.508531093597412,2.028525792,
QG.tar.gz,QG,qg5-13.cnf,QG.tar.gz::qg5-13.cnf,2197,125464,125464,True,,OPTIMAL,3088.0,3088,True,0.0,3.6230978965759277,4.367059625,
QG.tar.gz,QG,qg6-09.cnf,QG.tar.gz::qg6-09.cnf,729,21844,21844,True,,OPTIMAL,955.0,955,True,0.0,0.2620229721069336,0.38251404199999683,
QG.tar.gz,QG,qg6-10.cnf,QG.tar.gz::qg6-10.cnf,1000,33466,33466,True,,OPTIMAL,1132.0,1132,True,0.0,0.4990220069885254,0.6764646250000013,
QG.tar.gz,QG,qg6-11.cnf,QG.tar.gz::qg6-11.cnf,1331,49204,49204,True,,OPTIMAL,1323.0,1323,True,0.0,0.8243260383605957,1.0987237920000013,
QG.tar.gz,QG,qg6-12.cnf,QG.tar.gz::qg6-12.cnf,1728,69931,69931,True,,OPTIMAL,1528.0,1528,True,0.0,1.2805750370025635,1.674941999999998,
