Family,NumInstances,NumReduced,AverageOriginalOrder,AverageReducedOrder,AverageRatio,AverageTimeSeconds
QG,22,22,1044.18181818182,591.772727272727,0.546454066158286,0.450703678030303
bf,4,4,1698.5,643.75,0.386983745223581,0.225156197916667
blocksworld,7,7,1645.28571428571,1619.71428571429,0.939048434666725,0.193605892857143
bmc,7,6,12416.2857142857,8627.42857142857,0.562394825266616,49.0585398809524
hanoi,2,2,1325.5,1013,0.757477460355854,0.08239675
Bejing,16,6,9120.4375,7280.6875,0.912422745232306,3.25234734895833
jnh,50,27,101,99.26,0.982772277227723,0.0154591716666667
logistics,4,4,1882.25,1783,0.94181988674046,0.09596421875
parity,30,15,1045.46666666667,576.266666666667,0.657865819407498,0.162583594444444
ssa,8,8,2352,276.625,0.231826788303469,28.3425839375
