Instance,NumVariables,NumClauses,OptimalValue,ILPStatus,LPBound,LPStatus,OriginalSDPBound,OriginalSDPOrder,OriginalSDPTime,OriginalSDPStatus,OriginalSDPHistoricalStatus,ReducedSDPBound,ReducedSDPOrder,ReducedSDPTime,ReducedSDPStatus,AffineFRTime
anomaly,48,261,174,OPTIMAL,122.5,OPTIMAL,173.999999990421,49,0.19674025,OPTIMAL,,173.999999883037,39,0.104523083333333,OPTIMAL,0.330481166666667
medium,116,953,225,OPTIMAL,188.75,OPTIMAL,225.000000002086,117,7.01971679166667,OPTIMAL,,225.000000074635,107,4.42562204166667,OPTIMAL,0.0600050833333333
jnh14,100,850,Inf,INFEASIBLE,261.918367346939,OPTIMAL,433.410413820539,101,9.87720895833333,NUMERIC,,435.725608137058,94,6.79106879166667,NUMERIC,0.0484028333333333
jnh210,100,800,302,OPTIMAL,206.5,OPTIMAL,221.846054524931,101,9.31797020833333,OPTIMAL,,221.846017897948,95,5.643765875,OPTIMAL,0.0152438333333333
jnh215,100,800,Inf,INFEASIBLE,182.363636363636,OPTIMAL,280.623721225068,101,23.9325047916667,OPTIMAL,,280.644806976843,95,14.1368282083333,OPTIMAL,0.0390674583333333
jnh302,100,900,Inf,INFEASIBLE,257.75,OPTIMAL,1.37057703855584e-47,101,6.713272625,INFEASIBLE,,1.16172033161185e-56,93,4.232182875,INFEASIBLE,0.0189724583333333
jnh309,100,900,Inf,INFEASIBLE,262,OPTIMAL,414.14479567785,101,7.73515970833333,NUMERIC,,8.50771702455573e-21,95,6.52512725,INFEASIBLE,0.0262548333333333
jnh7,100,850,334,OPTIMAL,220.737967914438,OPTIMAL,258.671803436242,101,39.8378093333333,OPTIMAL,,258.180916208095,95,12.0566445833333,OPTIMAL,0.054014625
par8-1,350,1149,666,OPTIMAL,388,OPTIMAL,NaN,351,NaN,SKIPPED_OOM_SAFETY,OOM,539.288445365451,65,1.82848733333333,OPTIMAL,0.023867625
par8-2,350,1157,611,OPTIMAL,395.5,OPTIMAL,NaN,351,NaN,SKIPPED_OOM_SAFETY,OOM,581.509320702816,69,1.42696225,OPTIMAL,0.042486125
par8-3,350,1171,513,OPTIMAL,278.333333333333,OPTIMAL,NaN,351,NaN,SKIPPED_OOM_SAFETY,OOM,426.725136552818,76,2.28699079166667,OPTIMAL,0.038209875
par8-4,350,1155,677,OPTIMAL,339.7,OPTIMAL,NaN,351,NaN,SKIPPED_OOM_SAFETY,OOM,499.499962877175,68,1.413849625,OPTIMAL,0.031269
par8-5,350,1171,609,OPTIMAL,331.423076923077,OPTIMAL,NaN,351,NaN,SKIPPED_OOM_SAFETY,OOM,530.71421583618,76,2.88113725,OPTIMAL,0.0270351666666667
ssa0432-003,435,1027,Inf,INFEASIBLE,1179.28571428571,OPTIMAL,NaN,436,NaN,SKIPPED_OOM_SAFETY,OOM,1284.79025021532,117,16.0396869166667,OPTIMAL,0.0524421666666667
