>> demo2
BIP test at 15-May-2024 17:24:49
Instance               Var    |AFR      ratio    time  |PFR(D)   ratio    time  |PFR(DD)  ratio    time  |Shor_AFR_lb     time    |Shor_PFR(D)_lb  time    |Shor_PFR(DD)_lb time    |Shor_lb         time    |
stein9inf              9      |10       1.000    0.00  |10       1.000    0.00  |10       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
stein15inf             15     |16       1.000    0.00  |16       1.000    0.00  |16       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
supportcase21i         24     |25       1.000    0.06  |25       1.000    0.05  |25       1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
supportcase28i         24     |25       1.000    0.00  |25       1.000    0.00  |25       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
markshare_4_0          34     |31       0.886    0.01  |35       1.000    0.00  |35       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
markshare_5_0          45     |41       0.891    0.00  |46       1.000    0.00  |46       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
stein45inf             45     |46       1.000    0.01  |46       1.000    0.01  |46       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
g503inf                48     |40       0.816    0.00  |49       1.000    0.01  |49       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
gr4x6                  48     |40       0.816    0.00  |49       1.000    0.00  |49       1.000    0.00  |Skip                    |Skip                    |Skip                    |Skip                    |
markshare1             62     |51       0.810    0.01  |63       1.000    0.01  |63       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
neos5                  63     |64       1.000    0.00  |64       1.000    0.01  |64       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
pb-market-split8-70-4  71     |63       0.875    0.01  |71       0.986    0.01  |71       0.986    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
markshare2             74     |61       0.813    0.01  |75       1.000    0.01  |75       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
pk1                    86     |72       0.828    0.01  |87       1.000    0.01  |87       1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
b-ball                 100    |82       0.812    0.01  |101      1.000    0.01  |101      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
p2m2p1m1p0n100         101    |101      0.990    0.01  |102      1.000    0.01  |102      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
misc05inf              136    |102      0.745    0.02  |135      0.985    0.01  |133      0.971    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
v150d30-2hopcds        150    |149      0.987    0.10  |151      1.000    0.06  |149      0.987    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
mas74                  151    |152      1.000    0.01  |152      1.000    0.01  |152      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
mas76                  151    |152      1.000    0.01  |152      1.000    0.01  |152      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
assign1-5-8            156    |127      0.809    0.02  |157      1.000    0.02  |157      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-5192052-neckar    180    |161      0.890    0.02  |181      1.000    0.01  |181      1.000    0.01  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-3135526-osun      192    |161      0.834    0.05  |193      1.000    0.02  |193      1.000    0.03  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-5140963-mincio    196    |170      0.863    0.02  |197      1.000    0.01  |197      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
2club200v15p5scn       200    |201      1.000    0.04  |201      1.000    0.03  |201      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
p0201                  201    |146      0.723    0.02  |202      1.000    0.01  |202      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
glass-sc               214    |215      1.000    0.05  |215      1.000    0.04  |215      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
iis-glass-cov          214    |215      1.000    0.05  |215      1.000    0.04  |215      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
mad                    220    |191      0.864    0.03  |221      1.000    0.02  |221      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
gsvm2rl3               241    |242      1.000    0.01  |242      1.000    0.02  |242      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
prod1                  250    |243      0.968    0.03  |251      1.000    0.02  |251      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-3754480-nidda     253    |254      1.000    0.01  |254      1.000    0.02  |254      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
misc07                 260    |208      0.797    0.03  |240      0.920    0.02  |240      0.920    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
iis-hc-cov             297    |298      1.000    0.09  |298      1.000    0.08  |298      1.000    0.07  |Skip                    |Skip                    |Skip                    |Skip                    |
prod2                  301    |291      0.964    0.04  |302      1.000    0.03  |302      1.000    0.03  |Skip                    |Skip                    |Skip                    |Skip                    |
supportcase14          304    |179      0.587    0.04  |304      0.997    0.03  |301      0.987    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-1430701           312    |313      1.000    0.01  |313      1.000    0.02  |313      1.000    0.02  |Skip                    |Skip                    |Skip                    |Skip                    |
mod008inf              319    |320      1.000    0.01  |320      1.000    0.03  |320      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
supportcase16          319    |193      0.603    0.04  |319      0.997    0.04  |316      0.988    0.07  |Skip                    |Skip                    |Skip                    |Skip                    |
probportfolio          320    |320      0.997    0.05  |321      1.000    0.03  |321      1.000    0.03  |Skip                    |Skip                    |Skip                    |Skip                    |
glass4                 322    |286      0.885    0.04  |323      1.000    0.03  |323      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
control30-3-2-3        332    |179      0.538    0.04  |333      1.000    0.06  |333      1.000    0.07  |Skip                    |Skip                    |Skip                    |Skip                    |
ran13x13               338    |314      0.926    0.05  |339      1.000    0.03  |339      1.000    0.03  |Skip                    |Skip                    |Skip                    |Skip                    |
pigeon-08              344    |305      0.884    0.04  |345      1.000    0.03  |345      1.000    0.03  |Skip                    |Skip                    |Skip                    |Skip                    |
23588                  368    |232      0.629    0.05  |369      1.000    0.06  |369      1.000    0.07  |Skip                    |Skip                    |Skip                    |Skip                    |
nsa                    388    |352      0.905    0.05  |389      1.000    0.04  |389      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
beavma                 390    |303      0.775    0.05  |391      1.000    0.04  |391      1.000    0.08  |Skip                    |Skip                    |Skip                    |Skip                    |
f2gap40400             400    |401      1.000    0.02  |401      1.000    0.05  |401      1.000    0.05  |Skip                    |Skip                    |Skip                    |Skip                    |
gsvm2rl5               401    |402      1.000    0.02  |402      1.000    0.04  |402      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-3611689-kaihu     421    |421      0.998    0.06  |422      1.000    0.04  |422      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
22433                  429    |232      0.540    0.11  |430      1.000    0.09  |430      1.000    0.11  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-3610040-iskar     430    |430      0.998    0.05  |431      1.000    0.04  |431      1.000    0.04  |Skip                    |Skip                    |Skip                    |Skip                    |
supportcase26          436    |437      1.000    0.01  |437      1.000    0.05  |437      1.000    0.05  |Skip                    |Skip                    |Skip                    |Skip                    |
rlp1                   461    |364      0.788    0.06  |372      0.805    0.05  |372      0.805    0.05  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-3611447-jijia     472    |472      0.998    0.08  |473      1.000    0.05  |473      1.000    0.05  |Skip                    |Skip                    |Skip                    |Skip                    |
k16x240b               480    |466      0.969    0.06  |481      1.000    0.05  |481      1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
nexp-50-20-1-1         490    |462      0.941    0.06  |491      1.000    0.10  |489      0.996    0.10  |Skip                    |Skip                    |Skip                    |Skip                    |
pigeon-10              490    |441      0.898    0.07  |491      1.000    0.05  |491      1.000    0.05  |Skip                    |Skip                    |Skip                    |Skip                    |
neos-2629914-sudost    496    |466      0.938    0.14  |497      1.000    0.10  |497      1.000    0.10  |Skip                    |Skip                    |Skip                    |Skip                    |
ran12x21               504    |473      0.937    0.08  |505      1.000    0.06  |505      1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
ran14x18-disj-8        504    |474      0.939    0.12  |505      1.000    0.06  |505      1.000    0.12  |Skip                    |Skip                    |Skip                    |Skip                    |
bienst1                505    |379      0.749    0.08  |506      1.000    0.11  |506      1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
bienst2                505    |379      0.749    0.08  |506      1.000    0.06  |506      1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
newdano                505    |379      0.749    0.10  |506      1.000    0.11  |506      1.000    0.06  |Skip                    |Skip                    |Skip                    |Skip                    |
milo-v13-4-3d-3-0      516    |181      0.350    0.09  |517      1.000    0.07  |517      1.000    0.07  |Skip                    |Skip                    |Skip                    |Skip                    |
